Product_ID,Product_Category,Store_Location,Store_Type,Supplier_Region,Season,Current_Stock_Units,Average_Weekly_Sales,Lead_Time_Days,Unit_Cost,Selling_Price,Discount_Rate,Customer_Rating,Return_Rate,Website_Views,Previous_Stockout,Competitor_Price_Index,Reorder_Needed,Cluster,Segment_Name
P0032,Electronics Accessories,Online,Online,Local,Back-to-School,68,57,3,13.17,19.4,0.09,4.3,0.08,1335,Yes,1.11,No,1,Low-Cost Moderate Demand Products
P0033,Apparel,Downtown,Standard,Local,Spring,113,42,3,78.05,143.14,0.0,4.4,0.09,901,No,0.89,No,2,Premium Low-Stock Products
P0034,Pet Supplies,Suburban,Flagship,National,Spring,36,41,9,27.09,70.87,0.09,4.5,0.02,828,No,1.0,Yes,1,Low-Cost Moderate Demand Products
P0035,Home Goods,Mall,Standard,National,Holiday,153,56,9,54.19,78.32,0.0,4.5,0.08,1330,No,1.1,No,0,High Demand / High Stock Products
P0036,Kitchenware,Mall,Standard,International,Fall,30,36,12,73.04,164.45,0.0,3.8,0.06,1213,No,0.87,Yes,2,Premium Low-Stock Products
P0037,Beauty,Mall,Flagship,Local,Fall,26,39,5,10.94,27.76,0.3,5.0,0.03,1287,No,1.01,Yes,1,Low-Cost Moderate Demand Products
P0038,Fitness,Mall,Standard,Local,Fall,92,7,2,69.19,110.18,0.0,4.6,0.15,25,No,0.95,No,2,Premium Low-Stock Products
P0039,Beauty,Campus,Standard,National,Fall,159,40,9,61.49,118.57,0.0,3.0,0.05,1680,No,1.06,No,0,High Demand / High Stock Products
P0040,Beauty,Downtown,Outlet,International,Winter,343,60,19,41.88,86.38,0.0,4.6,0.14,1038,No,0.97,No,0,High Demand / High Stock Products
P0041,Pet Supplies,Suburban,Standard,National,Holiday,38,27,7,25.5,39.87,0.23,3.7,0.08,347,No,1.0,No,1,Low-Cost Moderate Demand Products
P0042,Fitness,Suburban,Standard,Local,Back-to-School,19,42,2,33.34,66.09,0.3,3.2,0.07,1179,No,1.17,No,1,Low-Cost Moderate Demand Products
P0043,Beauty,Online,Online,National,Back-to-School,292,78,10,77.66,124.31,0.26,4.5,0.02,1745,No,1.12,No,0,High Demand / High Stock Products
P0044,Fitness,Campus,Outlet,National,Fall,22,21,10,70.32,120.03,0.26,4.4,0.15,638,No,0.88,Yes,2,Premium Low-Stock Products
P0045,Apparel,Downtown,Outlet,National,Summer,100,65,7,39.05,59.52,0.0,4.3,0.04,1129,No,1.06,No,1,Low-Cost Moderate Demand Products
P0046,Pet Supplies,Downtown,Standard,National,Summer,13,35,5,79.44,123.98,0.34,,0.07,1392,No,0.84,Yes,2,Premium Low-Stock Products
P0047,Home Goods,Online,Online,,Fall,73,27,5,55.51,114.87,0.25,3.3,0.02,321,No,1.11,No,2,Premium Low-Stock Products
P0048,Apparel,Downtown,Standard,International,Winter,471,62,19,23.53,52.89,0.19,3.6,0.12,1903,Yes,0.88,No,0,High Demand / High Stock Products
P0049,Office Supplies,Campus,Outlet,National,Holiday,130,52,8,38.56,76.96,0.25,4.5,0.01,1655,Yes,1.04,Yes,0,High Demand / High Stock Products
P0050,Pet Supplies,Campus,Standard,National,Spring,45,26,9,41.44,58.04,0.0,3.9,0.02,993,No,0.99,No,1,Low-Cost Moderate Demand Products
P0051,Apparel,Mall,Standard,,Spring,138,40,17,76.24,175.88,,2.8,0.09,1037,No,1.16,No,2,Premium Low-Stock Products
P0052,Fitness,Downtown,Standard,Local,Spring,56,37,3,62.15,92.3,0.11,3.9,0.07,792,No,1.16,No,2,Premium Low-Stock Products
P0053,Apparel,Online,Online,Local,Spring,49,58,2,28.61,41.73,0.07,3.3,0.11,1691,No,1.02,No,1,Low-Cost Moderate Demand Products
P0054,Pet Supplies,Mall,Standard,International,Spring,56,36,13,56.14,98.73,0.0,4.1,0.13,982,Yes,1.07,Yes,2,Premium Low-Stock Products
P0055,Beauty,Mall,Standard,Local,Back-to-School,43,72,2,62.44,129.2,0.11,4.1,0.12,2023,No,1.09,No,0,High Demand / High Stock Products
P0056,Apparel,Online,Online,Local,Spring,0,61,3,46.28,86.83,0.22,3.2,0.15,2038,No,1.17,Yes,0,High Demand / High Stock Products
P0057,Electronics Accessories,Mall,Standard,National,Summer,141,66,10,31.93,68.25,0.22,4.7,0.01,1840,No,1.19,No,0,High Demand / High Stock Products
P0058,Kitchenware,Suburban,Standard,Local,Holiday,0,35,2,14.78,28.66,0.06,3.8,0.09,1104,No,1.11,Yes,1,Low-Cost Moderate Demand Products
P0059,Apparel,Downtown,Standard,,Summer,57,52,5,37.6,57.94,0.0,3.7,0.13,1328,No,0.98,No,1,Low-Cost Moderate Demand Products
P0060,Home Goods,Downtown,Standard,Local,Spring,30,35,3,32.9,67.19,0.2,3.7,0.09,564,No,0.83,No,1,Low-Cost Moderate Demand Products
P0061,Fitness,Online,Online,National,Spring,66,45,8,64.9,124.5,0.3,4.7,0.12,1012,No,0.94,No,2,Premium Low-Stock Products
P0062,Beauty,Downtown,Standard,International,Fall,27,55,15,65.94,99.52,0.0,3.2,0.03,902,No,1.13,Yes,2,Premium Low-Stock Products
P0063,Electronics Accessories,Campus,Standard,National,Back-to-School,129,57,5,15.47,21.35,0.18,4.0,0.09,1245,No,1.15,No,1,Low-Cost Moderate Demand Products
P0064,Fitness,Mall,Standard,National,Holiday,67,58,9,65.55,128.83,0.15,3.7,0.09,2003,Yes,0.96,Yes,0,High Demand / High Stock Products
P0065,Home Goods,Suburban,Standard,National,Summer,159,28,9,35.07,56.13,0.23,3.9,0.07,741,Yes,1.08,No,1,Low-Cost Moderate Demand Products
P0066,Fitness,Downtown,Standard,International,Back-to-School,25,29,13,75.29,118.48,0.16,4.4,0.1,542,No,1.09,Yes,2,Premium Low-Stock Products
P0067,Electronics Accessories,Suburban,Standard,Local,Holiday,71,47,4,14.45,20.03,0.0,4.1,0.01,655,No,0.87,No,1,Low-Cost Moderate Demand Products
P0068,Kitchenware,Online,Online,Local,Fall,14,40,2,22.05,37.65,0.14,4.4,0.03,1367,No,1.01,No,1,Low-Cost Moderate Demand Products
P0069,Office Supplies,Mall,Standard,National,Winter,54,54,7,64.9,92.87,0.13,4.4,0.04,1870,Yes,1.13,Yes,2,Premium Low-Stock Products
P0070,Electronics Accessories,Campus,Standard,National,Fall,151,58,8,42.15,63.6,0.35,4.0,0.17,1786,No,1.14,No,0,High Demand / High Stock Products
P0071,Kitchenware,Downtown,Standard,National,Spring,163,42,8,67.46,123.34,0.27,4.3,0.1,400,No,1.0,No,2,Premium Low-Stock Products
P0072,Apparel,Mall,Standard,Local,Fall,53,63,2,35.66,70.73,0.08,3.8,0.16,2318,No,1.04,No,0,High Demand / High Stock Products
P0073,Office Supplies,Suburban,Flagship,National,Fall,43,22,4,62.63,131.03,,3.2,0.06,311,Yes,1.07,No,2,Premium Low-Stock Products
P0074,Beauty,Suburban,Flagship,Local,Spring,94,35,6,79.17,144.19,0.13,,0.09,1364,No,0.95,No,2,Premium Low-Stock Products
P0075,Kitchenware,Campus,Standard,International,Winter,3,2,16,43.46,95.82,0.0,3.3,0.04,369,No,0.94,Yes,2,Premium Low-Stock Products
P0076,Electronics Accessories,Downtown,Outlet,National,Holiday,92,60,7,76.04,105.28,0.24,5.0,0.1,867,No,1.06,No,2,Premium Low-Stock Products
P0077,Kitchenware,Suburban,Standard,National,Back-to-School,2,25,3,32.27,69.0,0.22,3.5,0.11,471,No,0.97,Yes,1,Low-Cost Moderate Demand Products
P0078,Electronics Accessories,Campus,Standard,International,Winter,0,34,19,38.36,91.88,0.0,4.6,0.05,373,No,0.85,Yes,2,Premium Low-Stock Products
P0079,Kitchenware,Campus,Standard,National,Winter,86,35,9,14.55,31.8,0.06,,0.13,1178,No,1.22,No,1,Low-Cost Moderate Demand Products
P0080,Pet Supplies,Downtown,Outlet,National,Fall,69,22,7,70.72,153.3,0.0,3.6,0.12,360,No,0.87,No,2,Premium Low-Stock Products
P0081,Kitchenware,Suburban,Outlet,International,Holiday,76,44,19,45.86,65.17,0.14,3.7,0.08,690,No,1.06,Yes,2,Premium Low-Stock Products
P0082,Apparel,Downtown,Standard,National,Back-to-School,122,56,8,52.56,92.91,0.0,3.5,0.16,1582,No,0.94,No,0,High Demand / High Stock Products
P0083,Beauty,Downtown,Standard,Local,Back-to-School,32,62,2,78.13,111.36,0.16,3.8,0.12,1547,No,0.97,No,2,Premium Low-Stock Products
P0084,Apparel,Suburban,Standard,Local,Back-to-School,18,51,2,41.91,65.91,0.06,4.0,0.02,1201,Yes,0.84,No,1,Low-Cost Moderate Demand Products
P0085,Beauty,Mall,Outlet,National,Holiday,216,68,4,31.81,52.86,0.0,3.8,0.07,1968,No,1.09,No,0,High Demand / High Stock Products
P0086,Kitchenware,Suburban,Outlet,National,Summer,194,54,5,7.44,10.64,0.15,4.0,0.03,1364,No,1.07,No,1,Low-Cost Moderate Demand Products
P0087,Home Goods,Suburban,Outlet,,Back-to-School,112,34,11,32.0,63.91,0.34,,0.02,20,No,1.13,No,1,Low-Cost Moderate Demand Products
P0088,Fitness,Downtown,Standard,National,Holiday,106,34,9,6.4,16.03,0.0,4.5,0.07,981,No,1.13,No,1,Low-Cost Moderate Demand Products
P0089,Apparel,Downtown,Standard,Local,Back-to-School,24,59,3,17.16,41.6,0.15,4.1,0.06,1631,No,0.92,No,1,Low-Cost Moderate Demand Products
P0090,Home Goods,Suburban,Standard,National,Fall,64,25,5,64.45,99.33,0.09,4.9,0.01,1335,No,1.14,No,2,Premium Low-Stock Products
P0091,Electronics Accessories,Mall,Standard,National,Summer,88,20,6,56.91,81.39,0.23,4.0,0.14,821,No,1.11,Yes,2,Premium Low-Stock Products
P0092,Beauty,Campus,Standard,International,Holiday,248,70,14,77.26,122.41,0.24,4.0,0.12,2294,No,1.19,Yes,0,High Demand / High Stock Products
P0093,Apparel,Campus,Outlet,National,Winter,94,72,5,74.38,174.76,0.05,5.0,,2225,No,1.2,No,0,High Demand / High Stock Products
P0094,Apparel,Downtown,Standard,Local,Summer,65,48,3,47.15,100.36,0.1,,0.18,652,No,1.09,No,2,Premium Low-Stock Products
P0095,Home Goods,Suburban,Standard,National,Holiday,106,40,11,4.87,9.58,0.0,4.3,0.1,1369,No,0.94,No,1,Low-Cost Moderate Demand Products
P0096,Fitness,Downtown,Flagship,Local,Back-to-School,38,61,2,45.74,79.44,0.21,3.7,0.09,2188,No,0.85,No,0,High Demand / High Stock Products
P0097,Beauty,Downtown,Standard,National,Winter,60,59,9,43.55,61.6,0.11,4.5,0.11,1241,No,0.84,No,1,Low-Cost Moderate Demand Products
P0098,Electronics Accessories,Online,Online,National,Winter,187,57,9,8.85,23.16,0.0,4.1,0.09,1745,No,1.13,No,0,High Demand / High Stock Products
P0099,Office Supplies,Suburban,Outlet,International,Fall,43,17,13,44.99,88.53,0.0,3.5,0.07,423,No,0.94,No,2,Premium Low-Stock Products
P0100,Pet Supplies,Suburban,Standard,Local,Holiday,29,36,3,65.52,110.14,0.28,3.8,0.11,685,Yes,1.06,No,2,Premium Low-Stock Products
P0101,Electronics Accessories,Suburban,Standard,International,Spring,135,26,15,66.0,137.69,0.15,3.8,0.05,436,No,0.94,No,2,Premium Low-Stock Products
P0102,Office Supplies,Mall,Standard,National,Holiday,50,56,11,63.72,100.81,0.0,3.8,0.03,2110,No,0.94,Yes,0,High Demand / High Stock Products
P0103,Beauty,Campus,Standard,Local,Summer,59,48,7,74.09,169.71,0.08,4.1,0.11,1469,No,1.12,No,2,Premium Low-Stock Products
P0104,Pet Supplies,Suburban,Outlet,Local,Holiday,28,34,5,79.97,139.61,0.12,3.9,0.11,1592,No,0.97,No,2,Premium Low-Stock Products
P0105,Beauty,Mall,Flagship,International,Winter,133,65,11,32.17,53.9,0.0,4.2,0.1,1685,No,0.95,No,0,High Demand / High Stock Products
P0106,Fitness,Online,Online,Local,Holiday,125,69,7,41.29,60.04,0.0,3.9,0.07,1593,No,1.08,No,0,High Demand / High Stock Products
P0107,Office Supplies,Online,Online,National,Fall,97,36,6,57.74,77.34,0.2,3.5,0.04,915,No,1.04,No,2,Premium Low-Stock Products
P0108,Office Supplies,Downtown,Outlet,National,Holiday,0,49,8,11.32,16.29,0.11,3.9,0.09,1011,No,0.98,Yes,1,Low-Cost Moderate Demand Products
P0109,Kitchenware,Online,Online,National,Holiday,52,58,7,32.82,60.16,0.0,4.3,0.12,1365,No,0.86,No,1,Low-Cost Moderate Demand Products
P0110,Pet Supplies,Campus,Standard,Local,Spring,84,29,8,46.83,63.47,0.33,3.6,0.13,793,No,0.98,No,2,Premium Low-Stock Products
P0111,Pet Supplies,Suburban,Outlet,Local,Back-to-School,135,66,9,59.04,104.55,0.0,3.2,0.11,2292,No,1.13,No,0,High Demand / High Stock Products
P0112,Beauty,Suburban,Outlet,National,Back-to-School,96,55,7,51.01,112.18,0.0,3.8,0.12,2006,No,0.95,No,0,High Demand / High Stock Products
P0113,Electronics Accessories,Suburban,Flagship,Local,Fall,78,22,3,6.0,9.69,0.08,3.8,0.12,1004,No,1.18,No,1,Low-Cost Moderate Demand Products
P0114,Electronics Accessories,Downtown,Standard,National,Spring,68,41,5,40.8,56.55,0.0,4.2,0.04,575,Yes,0.94,No,1,Low-Cost Moderate Demand Products
P0115,Pet Supplies,Suburban,Standard,International,Holiday,143,56,15,28.37,71.01,0.11,5.0,0.06,1342,No,0.92,No,0,High Demand / High Stock Products
P0116,Apparel,Mall,Standard,National,Back-to-School,25,82,2,39.08,80.1,0.0,3.7,0.09,1613,No,1.02,No,0,High Demand / High Stock Products
P0117,Kitchenware,Online,Online,Local,Holiday,32,46,4,42.5,103.8,0.26,4.1,0.04,1179,No,1.13,No,2,Premium Low-Stock Products
P0118,Apparel,Campus,Standard,National,Back-to-School,36,45,10,4.8,7.34,0.2,3.9,0.07,950,No,1.13,Yes,1,Low-Cost Moderate Demand Products
P0119,Apparel,Downtown,Standard,International,Spring,362,57,15,27.7,47.63,0.11,3.5,0.13,1193,No,0.87,No,0,High Demand / High Stock Products
P0120,Apparel,Campus,Standard,Local,Summer,53,32,2,21.62,36.03,0.11,3.6,0.11,708,No,1.06,No,1,Low-Cost Moderate Demand Products
P0121,Kitchenware,Online,Online,Local,Spring,0,42,2,28.77,49.54,0.13,3.4,0.07,994,No,1.16,Yes,1,Low-Cost Moderate Demand Products
P0122,Home Goods,Mall,Flagship,Local,Spring,39,20,3,56.7,101.07,0.0,4.3,0.06,702,No,1.08,No,2,Premium Low-Stock Products
P0123,Apparel,Suburban,Standard,Local,Fall,51,47,4,65.96,167.67,0.2,3.8,0.08,1290,No,1.12,No,2,Premium Low-Stock Products
P0124,Apparel,Mall,Standard,National,Winter,113,63,8,62.91,141.25,0.16,4.1,0.18,2297,No,0.86,No,0,High Demand / High Stock Products
P0125,Office Supplies,Mall,Standard,International,Fall,189,48,15,22.01,48.91,0.23,3.8,0.03,1023,Yes,0.84,No,1,Low-Cost Moderate Demand Products
P0126,Electronics Accessories,Online,Online,Local,Summer,159,62,8,55.63,77.83,0.34,3.0,0.19,867,No,1.17,No,0,High Demand / High Stock Products
P0127,Kitchenware,Online,Online,National,Winter,88,39,10,38.35,74.39,0.0,3.6,0.08,1158,No,0.82,No,1,Low-Cost Moderate Demand Products
P0128,Beauty,Online,Online,National,Spring,45,33,6,36.65,54.57,0.13,3.9,0.05,1145,No,0.96,No,1,Low-Cost Moderate Demand Products
P0129,Kitchenware,Mall,Flagship,International,Fall,317,61,16,19.38,39.13,0.09,4.6,0.16,1776,No,1.18,No,0,High Demand / High Stock Products
P0130,Kitchenware,Suburban,Standard,National,Spring,65,38,6,21.19,42.52,0.05,4.0,0.13,89,No,0.85,No,1,Low-Cost Moderate Demand Products
P0131,Home Goods,Campus,Flagship,National,Back-to-School,257,64,13,14.86,26.84,0.05,,0.1,992,No,1.16,No,0,High Demand / High Stock Products
P0132,Fitness,Suburban,Outlet,,Spring,17,29,3,46.06,87.24,0.23,4.2,0.05,219,No,1.03,No,2,Premium Low-Stock Products
P0133,Apparel,Campus,Outlet,National,Spring,24,24,8,44.15,113.71,0.35,4.6,0.18,407,No,1.2,No,2,Premium Low-Stock Products
P0134,Home Goods,Downtown,Flagship,National,Winter,38,38,6,35.57,72.54,0.07,3.6,0.06,880,No,0.9,No,1,Low-Cost Moderate Demand Products
P0135,Fitness,Online,Online,National,Spring,29,28,4,68.33,93.79,0.08,3.4,0.1,849,No,1.1,No,2,Premium Low-Stock Products
P0136,Beauty,Online,Online,National,Summer,189,53,10,24.43,57.89,0.0,4.6,0.09,1409,Yes,1.05,No,0,High Demand / High Stock Products
P0137,Beauty,Mall,Standard,Local,Spring,67,29,2,21.36,38.03,0.06,4.0,0.13,1044,No,1.04,No,1,Low-Cost Moderate Demand Products
P0138,Electronics Accessories,Suburban,Standard,Local,Spring,59,25,2,72.55,106.12,0.29,4.4,0.09,543,No,1.16,Yes,2,Premium Low-Stock Products
P0139,Home Goods,Mall,Standard,National,Winter,76,26,6,62.72,92.55,0.32,4.0,0.08,298,No,1.17,No,2,Premium Low-Stock Products
P0140,Pet Supplies,Online,Online,Local,Winter,60,46,4,8.55,22.43,0.0,4.5,0.16,1122,No,0.97,No,1,Low-Cost Moderate Demand Products
P0141,Apparel,Online,Online,Local,Winter,48,33,6,21.99,33.65,0.14,3.8,0.06,896,No,1.13,No,1,Low-Cost Moderate Demand Products
P0142,Beauty,Suburban,Standard,International,Summer,165,42,15,13.11,18.95,0.26,4.3,0.08,922,No,0.86,No,1,Low-Cost Moderate Demand Products
P0143,Kitchenware,Suburban,Outlet,Local,Fall,0,8,5,22.99,39.7,0.0,4.8,0.09,269,No,1.07,Yes,1,Low-Cost Moderate Demand Products
P0144,Pet Supplies,Downtown,Flagship,International,Fall,75,24,19,67.03,106.85,0.06,4.7,0.11,877,No,0.83,No,2,Premium Low-Stock Products
P0145,Home Goods,Suburban,Outlet,Local,Back-to-School,81,41,5,35.31,64.64,0.0,4.2,0.1,797,No,1.14,No,1,Low-Cost Moderate Demand Products
P0146,Beauty,Mall,Outlet,National,Fall,150,42,8,20.65,49.33,0.0,4.4,0.13,1453,No,1.21,No,1,Low-Cost Moderate Demand Products
P0147,Pet Supplies,Campus,Flagship,International,Summer,105,47,12,30.97,70.47,0.0,,0.04,1958,No,1.2,No,0,High Demand / High Stock Products
P0148,Office Supplies,Campus,Standard,Local,Winter,43,20,5,20.63,37.16,0.05,4.2,0.09,798,No,1.16,No,1,Low-Cost Moderate Demand Products
P0149,Office Supplies,Online,Online,International,Holiday,204,63,15,75.59,125.23,0.08,4.2,0.1,2332,No,0.89,No,0,High Demand / High Stock Products
P0150,Kitchenware,Suburban,Standard,Local,Fall,33,23,3,59.39,148.87,0.33,3.8,0.18,626,Yes,1.19,No,2,Premium Low-Stock Products
P0151,Office Supplies,Downtown,Standard,Local,Holiday,82,60,7,10.74,22.02,0.24,3.7,0.09,1144,No,0.82,No,1,Low-Cost Moderate Demand Products
P0152,Pet Supplies,Mall,Standard,National,Spring,80,50,3,53.47,107.86,0.0,4.1,0.1,1536,No,0.85,No,2,Premium Low-Stock Products
P0153,Beauty,Campus,Flagship,National,Back-to-School,21,48,8,75.63,109.78,0.0,4.2,,1362,Yes,0.93,Yes,2,Premium Low-Stock Products
P0154,Fitness,Online,Online,Local,Fall,47,41,2,54.31,102.88,0.0,4.2,0.1,1508,Yes,0.94,No,2,Premium Low-Stock Products
P0155,Apparel,Mall,Standard,International,Fall,34,38,16,39.34,59.04,0.0,4.0,0.06,264,Yes,1.06,Yes,1,Low-Cost Moderate Demand Products
P0156,Electronics Accessories,Mall,Outlet,National,Holiday,228,57,7,72.61,149.49,0.2,4.0,0.1,785,No,1.12,No,2,Premium Low-Stock Products
P0157,Pet Supplies,Downtown,Standard,International,Fall,274,54,15,67.39,102.95,0.32,4.4,0.1,1226,No,1.17,Yes,0,High Demand / High Stock Products
P0158,Electronics Accessories,Suburban,Flagship,National,Back-to-School,129,32,12,46.76,65.62,0.14,,0.06,1053,No,1.06,No,2,Premium Low-Stock Products
P0159,Fitness,Online,Online,Local,Holiday,108,49,5,60.68,148.26,0.0,4.2,0.05,1253,No,1.17,No,2,Premium Low-Stock Products
P0160,Pet Supplies,Suburban,Standard,National,Summer,124,61,8,60.31,128.6,0.31,4.8,0.06,1609,No,0.87,Yes,2,Premium Low-Stock Products
P0161,Home Goods,Online,Online,International,Summer,46,20,17,57.55,88.73,0.3,3.8,0.06,356,Yes,1.17,Yes,2,Premium Low-Stock Products
P0162,Pet Supplies,Online,Online,National,Summer,72,43,7,47.49,120.85,0.31,4.2,0.07,610,No,1.13,No,2,Premium Low-Stock Products
P0163,Fitness,Mall,Flagship,,Holiday,61,37,9,52.85,89.09,0.16,4.0,0.12,1091,No,1.02,No,2,Premium Low-Stock Products
P0164,Fitness,Mall,Standard,Local,Spring,0,11,7,69.47,106.32,,4.0,0.07,502,No,1.14,Yes,2,Premium Low-Stock Products
P0165,Kitchenware,Online,Online,National,Holiday,0,57,10,33.51,45.47,0.26,4.3,0.14,1662,No,1.09,Yes,1,Low-Cost Moderate Demand Products
P0166,Pet Supplies,Downtown,Flagship,Local,Summer,83,43,5,17.91,35.93,,3.3,0.04,1675,No,0.95,No,1,Low-Cost Moderate Demand Products
P0167,Beauty,Online,Online,National,Holiday,238,104,9,42.04,97.99,0.0,4.8,,1952,Yes,1.18,No,0,High Demand / High Stock Products
P0168,Kitchenware,Mall,Standard,Local,Back-to-School,81,47,5,61.85,89.95,0.28,4.0,0.08,1245,No,0.98,Yes,2,Premium Low-Stock Products
P0169,Home Goods,Suburban,Flagship,Local,Holiday,53,53,7,51.63,78.47,0.26,4.3,0.11,1198,No,0.94,Yes,2,Premium Low-Stock Products
P0170,Pet Supplies,Campus,Standard,International,Fall,52,13,18,73.78,122.81,0.12,5.0,0.12,570,No,0.97,Yes,2,Premium Low-Stock Products
P0171,Home Goods,Mall,Flagship,International,Back-to-School,246,46,15,56.42,94.7,0.16,3.7,0.08,1204,No,1.08,No,0,High Demand / High Stock Products
P0172,Pet Supplies,Downtown,Standard,Local,Spring,84,55,5,19.18,29.39,0.0,4.2,0.07,1253,Yes,0.9,Yes,1,Low-Cost Moderate Demand Products
P0173,Kitchenware,Campus,Outlet,National,Spring,102,39,9,58.99,82.79,0.0,4.4,0.08,800,No,0.94,No,2,Premium Low-Stock Products
P0174,Apparel,Online,Online,Local,Holiday,88,77,3,31.17,53.01,0.24,3.8,0.18,2163,Yes,1.2,No,0,High Demand / High Stock Products
