borrower_id,age,age_group,gender,region,membership_type,borrower_category,book_category,loan_period_days,books_borrowed_last_6m,previous_late_returns,days_before_due_reminder_sent,account_fines_amount,library_visits_last_3m,renewal_used,distance_to_library_km,late_return
LB0032,27,26-35,Male,South,Student,Regular,Technology,14,20,0,3,9.52,1,No,17.0,0
LB0033,29,26-35,Male,West,Standard,Regular,Textbook,21,35,0,2,12.5,4,No,12.6,0
LB0034,17,18-25,Female,North,Standard,Regular,Non-fiction,21,23,0,2,20.18,9,No,30.5,1
LB0035,31,26-35,Male,West,Standard,Research,Textbook,7,6,0,7,83.42,12,No,33.1,1
LB0036,49,36-50,Female,South,Student,Regular,Children,21,12,0,5,35.32,13,Yes,26.2,0
LB0037,24,18-25,Male,North,Standard,Casual,Children,21,11,1,1,5.86,9,Yes,22.7,1
LB0038,37,36-50,Female,South,Senior,Casual,Non-fiction,14,15,1,3,83.78,8,No,16.9,1
LB0039,82,51+,Male,North,Standard,Regular,Children,14,22,0,2,69.57,11,Yes,13.6,0
LB0040,29,26-35,Female,West,Premium,Casual,Children,7,16,4,5,20.93,12,No,2.8,1
LB0041,82,51+,Female,North,Student,Research,Non-fiction,14,15,0,3,18.74,9,Yes,32.5,0
LB0042,62,51+,Female,North,Standard,Casual,Children,21,7,0,1,23.17,9,No,0.8,0
LB0043,39,36-50,Male,East,Standard,Regular,Technology,28,13,0,1,6.33,12,Yes,4.0,0
LB0044,45,36-50,Male,South,Senior,Regular,Technology,14,14,0,7,34.26,1,No,4.5,0
LB0045,47,36-50,Female,East,Standard,Casual,Children,21,1,3,7,68.1,4,Yes,17.4,1
LB0046,61,51+,Female,South,Standard,Regular,Non-fiction,21,7,1,1,48.56,12,Yes,21.9,0
LB0047,39,36-50,Male,East,Standard,Casual,Textbook,14,8,1,7,55.43,17,No,22.4,1
LB0048,53,51+,Male,South,Standard,Casual,Children,7,22,0,1,56.37,1,No,34.3,1
LB0049,71,51+,Male,North,Standard,Regular,Non-fiction,21,33,0,5,64.51,10,No,10.6,0
LB0050,25,18-25,Female,South,Student,Casual,Technology,14,18,0,1,77.58,16,Yes,16.5,1
LB0051,25,18-25,Female,South,Premium,Casual,Textbook,21,26,1,2,68.47,14,No,37.4,0
LB0052,39,36-50,Female,South,Premium,Research,Children,14,22,2,1,66.05,8,No,33.5,1
LB0053,45,36-50,Male,North,Premium,Casual,Technology,14,29,0,2,62.12,6,No,1.5,1
LB0054,44,36-50,Male,South,Standard,Research,Technology,28,17,3,1,28.94,1,Yes,11.9,0
LB0055,70,51+,Female,West,Standard,Casual,Textbook,28,17,0,7,59.06,8,Yes,6.5,0
LB0056,65,51+,Male,North,Standard,Family,Non-fiction,14,6,1,2,19.84,10,Yes,29.2,1
LB0057,54,51+,Male,West,Standard,Family,Technology,28,8,4,3,59.81,0,No,26.8,1
LB0058,81,51+,Female,West,Premium,Research,Textbook,28,6,3,7,25.45,4,Yes,14.6,0
LB0059,80,51+,Female,South,Standard,Research,Textbook,28,15,1,7,35.68,9,Yes,34.0,1
LB0060,27,26-35,Female,South,Standard,Casual,Technology,7,32,0,1,67.03,6,No,20.4,0
LB0061,65,51+,Male,West,Senior,Family,Fiction,7,7,0,2,6.57,3,Yes,18.9,0
LB0062,61,51+,Female,South,Senior,Regular,Non-fiction,7,7,0,7,6.74,11,No,21.9,0
LB0063,40,36-50,Female,South,Premium,Research,Non-fiction,7,4,2,3,57.41,16,No,22.4,1
LB0064,27,26-35,Female,West,Student,Regular,Non-fiction,28,25,5,5,59.23,2,No,15.4,1
LB0065,34,26-35,Female,West,Premium,Regular,Technology,21,8,0,5,9.84,10,Yes,29.7,0
LB0066,34,26-35,Male,East,Premium,Regular,Fiction,28,29,2,2,34.54,9,No,10.9,0
LB0067,49,36-50,Male,North,Student,Casual,Non-fiction,21,20,0,7,43.04,17,No,14.8,0
LB0068,65,51+,Female,South,Student,Family,Technology,21,20,2,5,10.58,4,Yes,27.0,0
LB0069,17,18-25,Male,South,Standard,Regular,Fiction,14,16,0,1,52.7,7,Yes,12.9,1
LB0070,24,18-25,Female,West,Premium,Regular,Children,7,16,1,1,53.82,14,No,36.1,0
LB0071,79,51+,Male,East,Student,Regular,Children,7,32,1,2,49.49,16,Yes,12.2,0
LB0072,61,51+,Female,South,Standard,Casual,Textbook,21,34,1,7,17.47,13,Yes,14.3,0
LB0073,47,36-50,Female,South,Student,Regular,Fiction,14,28,3,7,47.93,15,No,5.6,1
LB0074,82,51+,Male,East,Student,Research,Fiction,14,25,0,5,,12,No,10.9,1
LB0075,76,51+,Male,East,Student,Regular,Textbook,14,25,1,3,42.48,1,Yes,14.6,0
LB0076,68,51+,Female,East,Student,Casual,Fiction,7,15,1,7,8.1,15,Yes,0.8,0
LB0077,42,36-50,Female,North,Standard,Family,Technology,14,11,0,3,44.04,17,Yes,23.2,0
LB0078,79,51+,Female,West,Standard,Regular,Technology,21,34,3,5,74.17,15,Yes,18.5,0
LB0079,26,26-35,Male,West,Standard,Family,Children,21,11,0,5,35.76,13,Yes,34.1,0
LB0080,24,18-25,Female,North,Standard,Regular,Textbook,28,24,1,2,41.92,1,Yes,10.5,0
LB0081,45,36-50,Female,South,Standard,Regular,Fiction,28,35,1,2,4.3,10,Yes,28.4,0
LB0082,62,51+,Female,South,Student,Regular,Textbook,28,14,1,3,18.33,12,No,19.4,1
LB0083,17,18-25,Male,East,Standard,Family,Textbook,14,16,0,7,1.75,9,Yes,26.8,0
LB0084,65,51+,Female,South,Premium,Casual,Textbook,7,9,0,5,44.08,17,No,35.4,0
LB0085,78,51+,Male,South,Standard,Casual,Technology,14,35,0,2,78.72,13,No,39.4,0
LB0086,44,36-50,Male,North,Premium,Regular,Children,28,18,1,7,13.58,6,No,29.8,1
LB0087,52,51+,Female,West,Student,Regular,Textbook,28,17,4,7,49.85,5,No,37.1,1
LB0088,31,26-35,Female,West,Premium,Regular,Technology,21,9,0,3,47.87,14,No,29.1,1
LB0089,35,26-35,Male,East,Student,Regular,Textbook,7,1,2,1,78.6,13,Yes,36.9,1
LB0090,30,26-35,Male,South,Standard,Regular,Fiction,7,30,1,7,21.58,18,No,21.5,0
LB0091,65,51+,Female,South,Senior,Regular,Textbook,7,34,0,2,51.72,12,Yes,1.5,0
LB0092,73,51+,Male,North,Standard,Regular,Non-fiction,28,25,0,2,12.27,6,Yes,10.4,0
LB0093,61,51+,Male,West,Premium,Family,Textbook,14,1,0,5,36.14,11,No,13.5,0
LB0094,73,51+,Male,South,Senior,Regular,Children,7,18,0,3,22.75,18,No,32.8,0
LB0095,28,26-35,Male,West,Student,Family,Non-fiction,28,13,2,5,73.46,10,Yes,33.8,1
LB0096,72,51+,Male,North,Senior,Casual,Fiction,14,22,2,7,52.53,8,Yes,2.1,0
LB0097,35,26-35,Female,East,Student,Regular,Children,7,28,0,7,39.49,11,Yes,34.1,0
LB0098,77,51+,Female,West,Student,Research,Non-fiction,7,17,1,1,51.55,16,Yes,22.8,0
LB0099,73,51+,Male,South,Standard,Casual,Fiction,21,19,1,2,16.46,1,Yes,0.6,0
LB0100,65,51+,Male,West,Premium,Casual,Non-fiction,7,19,2,5,34.05,11,Yes,37.2,1
LB0101,43,36-50,Male,East,Senior,Casual,Technology,14,19,3,2,75.38,16,No,8.2,1
LB0102,54,51+,Male,East,Standard,Casual,Non-fiction,21,16,4,7,31.25,10,Yes,19.9,1
LB0103,66,51+,Female,North,Student,Casual,Technology,7,9,0,1,60.63,2,Yes,37.0,1
LB0104,60,51+,Male,West,Senior,Casual,Technology,7,28,0,1,75.21,9,Yes,17.7,0
LB0105,74,51+,Female,North,Senior,Regular,Fiction,21,27,0,1,29.26,5,Yes,26.6,0
LB0106,16,18-25,Male,South,Standard,Casual,Non-fiction,21,11,0,1,63.6,18,No,35.6,1
LB0107,31,26-35,Male,West,Standard,Casual,Fiction,28,22,0,5,0.35,17,No,7.9,0
LB0108,51,51+,Female,North,Student,Casual,Non-fiction,21,35,1,7,31.79,5,No,37.1,1
LB0109,46,36-50,Male,South,Premium,Regular,Children,7,34,2,7,75.41,13,Yes,28.7,1
LB0110,17,18-25,Female,North,Senior,Casual,Textbook,7,8,3,2,83.41,15,No,33.2,1
LB0111,25,18-25,Male,West,Senior,Casual,Non-fiction,21,31,1,3,20.66,13,No,29.8,1
LB0112,52,51+,Female,North,Student,Casual,Fiction,21,24,1,3,80.04,8,No,38.3,1
LB0113,73,51+,Female,North,Standard,Family,Children,14,14,1,7,20.89,14,Yes,18.8,0
LB0114,67,51+,Female,South,Premium,Casual,Textbook,14,16,0,7,1.7,7,Yes,4.2,0
LB0115,49,36-50,Male,West,Student,Casual,Textbook,7,33,0,3,48.38,1,No,4.8,0
LB0116,40,36-50,Female,South,Standard,Research,Non-fiction,14,23,2,1,41.8,8,No,33.2,1
LB0117,16,18-25,Male,North,Student,Family,Children,7,19,0,5,60.28,15,Yes,5.0,0
LB0118,71,51+,Male,East,Premium,Regular,Children,21,2,0,2,51.55,14,No,11.0,0
LB0119,38,36-50,Female,South,Standard,Casual,Technology,28,13,0,2,72.84,9,No,21.9,0
LB0120,76,51+,Female,West,Senior,Regular,Technology,21,21,0,2,30.48,10,Yes,34.8,0
LB0121,29,26-35,Male,North,Standard,Regular,Fiction,7,12,0,1,84.89,16,Yes,17.7,0
LB0122,28,26-35,Female,East,Standard,Casual,Textbook,14,12,2,3,,16,No,4.6,1
LB0123,26,26-35,Female,East,Student,Casual,Fiction,7,4,0,3,11.14,1,Yes,15.2,0
LB0124,22,18-25,Female,North,Student,Casual,Children,28,22,0,2,68.72,0,Yes,32.8,1
LB0125,39,36-50,Female,South,Student,Casual,Textbook,28,1,0,1,34.6,17,Yes,14.3,0
LB0126,39,36-50,Female,East,Premium,Family,Non-fiction,7,17,1,2,78.72,7,Yes,17.3,0
LB0127,82,51+,Female,North,Senior,Regular,Textbook,21,27,0,5,67.28,12,Yes,35.8,1
LB0128,22,18-25,Male,South,Senior,Regular,Technology,21,17,1,2,42.01,3,No,30.5,1
LB0129,17,18-25,Female,West,Senior,Casual,Non-fiction,28,6,0,1,26.33,10,Yes,33.0,0
LB0130,73,51+,Female,East,Standard,Casual,Technology,28,13,2,7,42.61,13,Yes,23.7,0
LB0131,40,36-50,Male,North,Standard,Regular,Children,21,29,0,5,47.39,13,Yes,1.9,0
LB0132,18,18-25,Male,East,Senior,Regular,Textbook,7,9,0,2,36.0,4,Yes,32.0,0
LB0133,80,51+,Female,North,Standard,Regular,Non-fiction,14,11,2,3,71.24,16,No,25.6,1
LB0134,79,51+,Male,South,Premium,Regular,Textbook,14,29,1,5,55.7,14,No,23.0,1
LB0135,41,36-50,Male,North,Student,Family,Children,28,15,5,3,13.75,4,Yes,24.5,1
LB0136,80,51+,Female,North,Standard,Research,Fiction,14,31,1,5,10.39,7,No,6.2,0
LB0137,52,51+,Female,East,Standard,Casual,Children,14,26,2,7,66.48,12,Yes,8.0,0
LB0138,42,36-50,Female,North,Standard,Casual,Children,28,5,0,3,59.9,6,Yes,38.2,0
LB0139,16,18-25,Male,East,Student,Family,Technology,21,13,0,7,66.57,12,Yes,29.6,0
LB0140,54,51+,Male,South,Senior,Regular,Non-fiction,14,9,1,3,59.49,8,No,18.4,1
LB0141,22,18-25,Female,West,Standard,Regular,Textbook,21,1,2,3,37.08,2,Yes,32.5,1
LB0142,35,26-35,Female,West,Standard,Casual,Non-fiction,21,17,1,2,50.94,14,Yes,17.7,0
LB0143,46,36-50,Female,West,Senior,Family,Children,14,8,0,5,61.55,17,No,15.6,0
LB0144,29,26-35,Male,East,Student,Casual,Fiction,14,35,0,2,45.04,6,No,28.4,1
LB0145,28,26-35,Female,North,Standard,Regular,Fiction,14,9,0,7,0.03,8,No,11.4,0
LB0146,56,51+,Female,North,Senior,Casual,Fiction,21,4,2,7,27.87,9,No,15.6,1
LB0147,19,18-25,Female,East,Premium,Regular,Children,28,15,1,5,10.48,17,No,9.0,0
LB0148,58,51+,Male,North,Senior,Regular,Fiction,14,10,0,5,51.46,15,No,13.0,0
LB0149,25,18-25,Female,North,Senior,Regular,Non-fiction,21,8,1,3,18.46,10,Yes,9.8,0
LB0150,24,18-25,Female,South,Senior,Research,Children,7,26,0,3,53.2,5,No,22.3,0
LB0151,47,36-50,Female,East,Student,Regular,Children,21,4,0,2,7.3,11,No,22.8,0
LB0152,62,51+,Female,West,Student,Regular,Fiction,7,32,0,1,9.09,17,Yes,3.1,0
LB0153,16,18-25,Female,West,Student,Casual,Fiction,28,22,0,1,5.83,7,No,21.0,0
LB0154,23,18-25,Male,West,Student,Research,Textbook,28,32,1,3,0.2,8,Yes,31.6,0
LB0155,39,36-50,Female,East,Premium,Regular,Fiction,7,34,0,7,83.27,7,Yes,1.9,0
LB0156,49,36-50,Female,North,Premium,Research,Children,14,11,1,2,65.64,0,No,2.4,1
LB0157,68,51+,Female,West,Student,Research,Non-fiction,7,7,0,3,46.82,0,No,38.2,1
LB0158,64,51+,Male,South,Standard,Research,Fiction,21,24,1,3,34.26,18,Yes,21.2,0
LB0159,59,51+,Female,West,Standard,Family,Technology,21,24,4,3,54.86,14,Yes,21.8,1
LB0160,17,18-25,Female,West,Standard,Regular,Children,21,22,0,3,74.35,0,No,28.4,1
LB0161,25,18-25,Female,West,Senior,Research,Children,14,19,0,5,45.41,18,Yes,11.3,0
LB0162,37,36-50,Female,South,Standard,Family,Children,14,21,2,3,42.12,3,Yes,18.2,1
LB0163,31,26-35,Male,East,Standard,Regular,Textbook,7,1,0,1,57.67,18,Yes,23.0,0
LB0164,34,26-35,Female,East,Standard,Regular,Textbook,14,2,1,2,73.48,10,No,32.6,1
LB0165,33,26-35,Male,West,Senior,Regular,Children,28,11,3,1,84.49,17,No,19.3,1
LB0166,38,36-50,Male,East,Standard,Casual,Technology,28,31,1,7,45.42,2,No,38.1,1
LB0167,32,26-35,Female,East,Standard,Casual,Fiction,14,23,2,1,63.29,2,Yes,19.4,1
LB0168,35,26-35,Male,East,Student,Casual,Technology,7,1,1,5,81.83,4,Yes,23.6,1
LB0169,29,26-35,Male,West,Student,Regular,Non-fiction,28,21,3,2,25.5,2,No,1.3,0
LB0170,25,18-25,Female,West,Standard,Regular,Technology,7,11,0,5,12.86,7,No,26.4,0
LB0171,79,51+,Female,West,Standard,Research,Fiction,7,15,1,5,2.44,8,No,17.5,0
LB0172,44,36-50,Female,East,Student,Casual,Fiction,14,28,2,7,12.31,13,No,23.1,0
LB0173,16,18-25,Female,East,Senior,Regular,Children,21,2,0,2,38.69,12,No,8.7,0
LB0174,22,18-25,Male,East,Senior,Family,Textbook,28,17,0,5,54.56,12,No,2.2,1
LB0175,59,51+,Male,East,Standard,Family,Children,14,8,0,2,35.5,11,Yes,22.4,0
LB0176,66,51+,Female,East,Student,Casual,Technology,7,34,1,7,41.43,18,Yes,35.3,0
LB0177,74,51+,Female,South,Premium,Regular,Technology,14,2,0,3,42.14,18,Yes,16.5,0
LB0178,60,51+,Male,East,Standard,Casual,Children,7,25,2,3,55.4,9,No,9.0,1
LB0179,38,36-50,Female,North,Student,Regular,Non-fiction,21,22,4,3,47.79,5,No,33.9,1
LB0180,49,36-50,Female,West,Senior,Regular,Textbook,21,26,1,5,4.54,16,No,4.4,0
LB0181,25,18-25,Female,North,Senior,Regular,Fiction,14,30,1,2,37.69,1,No,32.0,1
LB0182,36,36-50,Male,East,Standard,Family,Non-fiction,14,2,0,7,37.22,2,Yes,4.5,0
LB0183,72,51+,Female,East,Student,Regular,Non-fiction,28,19,2,1,22.78,4,Yes,39.3,1
LB0184,48,36-50,Female,East,Premium,Regular,Textbook,14,17,2,5,34.43,6,No,25.1,0
LB0185,54,51+,Female,West,Senior,Casual,Textbook,21,12,1,5,77.17,15,Yes,17.3,0
LB0186,80,51+,Female,West,Standard,Casual,Textbook,21,21,1,5,12.86,9,Yes,15.4,0
LB0187,21,18-25,Female,East,Premium,Family,Technology,7,3,0,2,31.78,12,No,0.6,0
LB0188,24,18-25,Female,West,Student,Casual,Children,28,24,0,3,36.29,11,Yes,9.3,0
LB0189,75,51+,Male,South,Standard,Casual,Technology,7,24,0,1,52.68,16,No,6.0,0
LB0190,17,18-25,Female,South,Senior,Family,Fiction,7,27,0,7,44.01,17,Yes,34.9,0
LB0191,75,51+,Male,North,Senior,Casual,Technology,28,4,0,1,31.01,0,Yes,17.4,0
LB0192,79,51+,Male,East,Senior,Regular,Textbook,14,24,0,2,16.62,2,No,3.5,0
LB0193,56,51+,Male,North,Premium,Family,Fiction,21,26,0,5,42.75,18,Yes,16.7,0
LB0194,81,51+,Male,East,Premium,Regular,Non-fiction,14,15,0,5,46.14,3,No,14.4,0
LB0195,71,51+,Female,South,Student,Research,Fiction,21,13,0,3,84.76,12,No,14.7,1
LB0196,59,51+,Male,South,Premium,Family,Fiction,14,24,2,5,46.61,13,No,36.3,1
LB0197,21,18-25,Female,South,Senior,Regular,Children,7,25,2,2,28.19,15,Yes,40.0,1
LB0198,16,18-25,Male,South,Student,Casual,Technology,7,15,0,7,56.59,15,No,4.7,0
LB0199,81,51+,Male,East,Premium,Research,Children,7,11,0,1,50.5,4,Yes,32.4,0
LB0200,33,26-35,Female,East,Premium,Regular,Textbook,21,26,0,1,40.46,5,No,21.6,1
LB0201,31,26-35,Male,South,Student,Casual,Technology,7,17,0,3,6.58,11,Yes,24.4,0
LB0202,56,51+,Female,East,Standard,Regular,Non-fiction,7,8,2,1,83.33,8,No,9.3,1
LB0203,26,26-35,Male,South,Standard,Regular,Non-fiction,7,3,0,5,10.87,15,Yes,5.9,0
LB0204,82,51+,Female,South,Standard,Family,Fiction,14,21,0,5,77.6,7,No,7.7,1
LB0205,56,51+,Female,East,Standard,Casual,Non-fiction,28,5,3,3,21.92,10,No,30.1,1
LB0206,21,18-25,Male,East,Student,Regular,Children,28,26,0,5,52.36,6,No,13.0,0
LB0207,49,36-50,Male,South,Standard,Casual,Technology,21,14,0,1,16.22,16,Yes,38.8,0
LB0208,79,51+,Female,North,Senior,Casual,Fiction,14,3,0,7,82.14,4,No,12.9,0
LB0209,78,51+,Male,South,Standard,Family,Non-fiction,28,17,0,2,1.64,7,Yes,27.2,0
LB0210,46,36-50,Female,South,Student,Casual,Fiction,7,29,4,5,58.23,7,No,25.7,1
LB0211,63,51+,Male,North,Standard,Regular,Textbook,7,21,0,7,2.56,15,No,24.6,0
LB0212,73,51+,Male,East,Student,Research,Children,21,24,0,5,27.87,9,No,36.1,1
LB0213,50,36-50,Male,West,Standard,Regular,Textbook,28,13,3,2,81.94,15,Yes,15.8,1
LB0214,77,51+,Male,South,Student,Regular,Non-fiction,7,2,1,1,70.02,10,Yes,30.9,1
LB0215,52,51+,Female,North,Senior,Casual,Non-fiction,7,28,1,5,10.9,14,Yes,26.1,0
LB0216,25,18-25,Male,South,Standard,Regular,Textbook,7,10,1,1,43.38,3,Yes,29.5,1
LB0217,79,51+,Male,South,Premium,Casual,Non-fiction,14,24,3,7,6.87,12,Yes,3.9,0
LB0218,54,51+,Female,South,Standard,Casual,Fiction,21,10,1,3,28.73,15,Yes,32.9,0
LB0219,66,51+,Male,North,Student,Regular,Fiction,21,20,3,5,80.46,14,No,26.0,1
LB0220,18,18-25,Male,East,Premium,Regular,Children,21,20,0,7,6.16,18,Yes,12.6,0
LB0221,76,51+,Male,West,Senior,Regular,Technology,14,29,0,2,15.41,15,No,25.3,0
LB0222,31,26-35,Female,North,Senior,Regular,Non-fiction,28,4,0,1,68.29,13,Yes,22.6,1
LB0223,47,36-50,Female,North,Senior,Regular,Technology,28,17,4,1,55.56,9,No,23.5,1
LB0224,47,36-50,Male,North,Premium,Regular,Non-fiction,28,22,2,5,40.42,0,Yes,30.4,1
LB0225,49,36-50,Male,East,Student,Regular,Fiction,21,17,0,5,1.55,17,No,9.0,0
LB0226,80,51+,Male,West,Standard,Family,Non-fiction,21,31,1,2,24.05,14,Yes,26.0,0
LB0227,32,26-35,Male,West,Standard,Regular,Fiction,7,19,2,2,25.82,5,Yes,23.5,1
LB0228,77,51+,Female,West,Student,Regular,Technology,28,11,2,2,84.25,13,No,26.0,1
LB0229,74,51+,Female,West,Senior,Regular,Technology,14,34,3,2,60.14,10,Yes,12.9,1
LB0230,76,51+,Female,West,Student,Regular,Non-fiction,21,8,1,2,8.17,13,Yes,26.7,0
LB0231,63,51+,Female,South,Standard,Research,Technology,14,2,1,1,2.71,13,No,10.8,0
LB0232,52,51+,Female,South,Premium,Regular,Fiction,28,20,1,2,50.52,7,Yes,5.7,0
LB0233,66,51+,Male,West,Standard,Regular,Textbook,21,8,3,1,63.07,1,Yes,34.4,1
LB0234,33,26-35,Female,South,Standard,Regular,Children,14,9,0,2,83.28,1,No,4.9,1
LB0235,75,51+,Male,North,Standard,Casual,Children,14,10,2,2,81.59,10,Yes,16.0,1
LB0236,75,51+,Male,West,Premium,Casual,Technology,14,16,3,2,26.78,3,Yes,30.9,1
LB0237,42,36-50,Female,West,Student,Casual,Non-fiction,14,22,1,5,18.05,7,Yes,15.0,0
LB0238,53,51+,Male,South,Standard,Regular,Non-fiction,21,14,1,1,1.12,6,Yes,38.6,0
LB0239,19,18-25,Female,East,Standard,Family,Textbook,7,14,0,7,66.53,11,No,27.7,1
LB0240,22,18-25,Female,South,Premium,Family,Technology,7,2,0,1,64.94,13,No,29.0,1
LB0241,29,26-35,Male,West,Premium,Regular,Non-fiction,21,15,0,7,56.76,6,No,32.6,0
LB0242,24,18-25,Female,West,Premium,Casual,Technology,21,31,4,1,34.62,14,No,24.1,1
LB0243,69,51+,Male,East,Premium,Casual,Non-fiction,7,1,0,5,15.13,16,Yes,14.9,0
LB0244,33,26-35,Female,West,Premium,Casual,Textbook,14,1,0,3,44.22,15,No,30.5,0
LB0245,80,51+,Female,West,Standard,Casual,Textbook,7,32,0,3,5.13,16,No,38.0,0
LB0246,62,51+,Male,East,Senior,Regular,Technology,21,14,1,5,6.03,1,Yes,21.7,1
LB0247,73,51+,Male,South,Standard,Casual,Fiction,28,25,1,1,54.87,10,No,26.8,1
LB0248,35,26-35,Male,South,Premium,Regular,Children,14,27,0,5,1.62,8,No,7.9,0
LB0249,51,51+,Female,South,Student,Family,Technology,28,33,0,3,58.36,14,Yes,3.7,0
LB0250,80,51+,Male,West,Standard,Regular,Textbook,28,6,2,1,71.68,3,Yes,13.8,1
LB0251,19,18-25,Female,East,Standard,Casual,Non-fiction,7,34,0,2,39.03,16,Yes,1.0,0
LB0252,70,51+,Male,East,Senior,Casual,Children,21,11,0,2,48.94,1,Yes,3.3,0
LB0253,17,18-25,Female,North,Student,Research,Non-fiction,7,22,1,5,56.6,0,Yes,39.9,0
LB0254,69,51+,Female,South,Premium,Regular,Textbook,21,3,1,2,61.81,7,Yes,8.9,0
LB0255,16,18-25,Male,North,Student,Regular,Textbook,7,15,1,3,52.64,15,Yes,31.6,1
LB0256,53,51+,Male,East,Senior,Regular,Children,28,26,1,7,53.42,7,Yes,36.9,0
LB0257,71,51+,Male,South,Senior,Regular,Technology,21,26,0,1,43.17,2,No,39.8,1
LB0258,69,51+,Female,South,Senior,Family,Technology,7,26,0,3,40.19,2,Yes,6.4,0
LB0259,33,26-35,Female,West,Student,Regular,Children,28,22,0,1,22.08,3,No,2.0,0
LB0260,45,36-50,Female,West,Standard,Research,Fiction,7,34,4,7,71.22,3,No,16.2,1
LB0261,64,51+,Female,East,Premium,Regular,Fiction,7,35,2,1,84.08,4,No,30.9,1
LB0262,31,26-35,Female,West,Premium,Regular,Non-fiction,28,12,0,1,18.38,2,No,5.2,0
LB0263,32,26-35,Male,East,Senior,Family,Technology,14,1,0,1,37.19,5,Yes,6.2,0
LB0264,46,36-50,Male,West,Standard,Regular,Fiction,7,9,0,7,44.57,4,No,2.6,0
LB0265,46,36-50,Male,West,Standard,Research,Fiction,7,8,0,3,84.01,13,Yes,7.1,0
LB0266,36,36-50,Female,West,Standard,Regular,Children,14,29,0,2,11.39,5,No,24.0,0
LB0267,61,51+,Male,East,Premium,Research,Children,14,23,0,2,44.0,10,Yes,29.0,0
LB0268,76,51+,Female,West,Senior,Casual,Children,7,31,3,7,83.57,6,Yes,16.0,1
LB0269,39,36-50,Male,South,Standard,Family,Fiction,14,29,0,3,40.15,6,Yes,5.2,0
LB0270,52,51+,Female,South,Premium,Regular,Textbook,7,28,4,7,35.27,18,No,17.1,1
LB0271,32,26-35,Male,North,Student,Family,Children,21,29,2,5,13.97,12,No,2.8,0
